match_id,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
T209992,Sunrisers Vs RCB,Sunrisers,Bhuvneshwar Kumar,4,0,25,1,6.25,11,2,1,0,0
T209992,Sunrisers Vs RCB,Sunrisers,Jason Holder,4,0,27,1,6.75,11,3,0,2,0
T209992,Sunrisers Vs RCB,Sunrisers,Siddarth Kaul,4,1,24,1,6,12,2,1,0,0
T209992,Sunrisers Vs RCB,Sunrisers,Umran Malik,4,0,21,1,5.25,11,2,0,0,0
T209992,Sunrisers Vs RCB,Sunrisers,Rashid Khan,4,0,39,1,9.75,7,3,2,0,0
T205599,Royals Vs Mumbai,Mumbai,Trent Boult,4,0,24,0,6,10,1,1,2,0
T205599,Royals Vs Mumbai,Mumbai,Jayant Yadav,2,0,17,0,8.5,6,2,1,0,0
T205599,Royals Vs Mumbai,Mumbai,Jasprit Bumrah,4,0,14,2,3.5,18,2,0,0,1
T205599,Royals Vs Mumbai,Mumbai,Nathan CoulterNile,4,0,14,4,3.5,16,2,0,0,0
T205599,Royals Vs Mumbai,Mumbai,James Neesham,4,0,12,3,3,13,0,0,0,0
T205599,Royals Vs Mumbai,Mumbai,Kieron Pollard,2,0,9,0,4.5,3,0,0,0,0
T205599,Royals Vs Mumbai,Royals,Mustafizur Rahman,2.2,0,32,1,13.71,6,3,2,1,0
T205599,Royals Vs Mumbai,Royals,Chetan Sakariya,3,1,36,1,12,9,3,2,0,2
T205599,Royals Vs Mumbai,Royals,Shreyas Gopal,1,0,9,0,9,2,0,1,0,0
T205599,Royals Vs Mumbai,Royals,Kuldip Yadav,2,0,16,0,8,5,3,0,0,0
T207682,Super Kings Vs Capitals,Capitals,Anrich Nortje,4,0,37,1,9.25,8,2,1,2,0
T207682,Super Kings Vs Capitals,Capitals,Avesh Khan,4,0,35,1,8.75,12,5,1,2,0
T207682,Super Kings Vs Capitals,Capitals,Axar Patel,4,0,18,2,4.5,6,0,0,0,0
T207682,Super Kings Vs Capitals,Capitals,Kagiso Rabada,4,0,21,0,5.25,12,3,0,0,0
T207682,Super Kings Vs Capitals,Capitals,Ravichandran Ashwin,4,0,20,1,5,8,0,0,2,0
T207682,Super Kings Vs Capitals,Super Kings,Deepak Chahar,3,0,34,1,11.33,9,4,2,2,0
T207682,Super Kings Vs Capitals,Super Kings,Josh Hazlewood,4,0,27,1,6.75,10,2,1,0,0
T207682,Super Kings Vs Capitals,Super Kings,Ravindra Jadeja,4,0,28,2,7,10,3,0,1,0
T207682,Super Kings Vs Capitals,Super Kings,Moeen Ali,3,0,16,0,5.33,8,0,1,0,0
T207682,Super Kings Vs Capitals,Super Kings,Shardul Thakur,4,0,13,2,3.25,12,0,0,0,0
T207682,Super Kings Vs Capitals,Super Kings,Dwayne Bravo,1.4,0,20,1,12,4,3,0,3,0
T207430,Sunrisers Vs KKR,KKR,Tim Southee,4,0,26,2,6.5,9,3,0,0,0
T207430,Sunrisers Vs KKR,KKR,Shivam Mavi,4,0,29,2,7.25,12,5,0,0,1
T207430,Sunrisers Vs KKR,KKR,Varun Chakravarthy,4,0,26,2,6.5,13,0,3,0,0
T207430,Sunrisers Vs KKR,KKR,Shakib AlHasan,4,0,20,1,5,10,0,1,0,0
T207430,Sunrisers Vs KKR,KKR,Sunil Narine,4,0,12,0,3,12,0,0,0,0
T207430,Sunrisers Vs KKR,Sunrisers,Bhuvneshwar Kumar,4,0,20,0,5,14,3,0,0,0
T207430,Sunrisers Vs KKR,Sunrisers,Jason Holder,4,0,32,2,8,8,5,0,0,0
T207430,Sunrisers Vs KKR,Sunrisers,Umran Malik,4,0,27,0,6.75,13,4,0,2,0
T207430,Sunrisers Vs KKR,Sunrisers,Rashid Khan,4,0,23,1,5.75,13,3,0,0,0
T207430,Sunrisers Vs KKR,Sunrisers,Siddarth Kaul,3.4,0,17,1,4.63,11,2,0,0,0
T207754,RCB Vs Punjab Kings,Punjab Kings,Aiden Markram,1,0,5,0,5,4,1,0,0,0
T207754,RCB Vs Punjab Kings,Punjab Kings,Mohammed Shami,4,0,39,3,9.75,6,3,2,0,0
T207754,RCB Vs Punjab Kings,Punjab Kings,Arshdeep Singh,3,0,42,0,14,6,3,3,4,0
T207754,RCB Vs Punjab Kings,Punjab Kings,Ravi Bishnoi,4,0,35,0,8.75,11,3,2,1,0
T207754,RCB Vs Punjab Kings,Punjab Kings,Harpreet Brar,4,0,26,0,6.5,14,0,3,0,0
T207754,RCB Vs Punjab Kings,Punjab Kings,Moises Henriques,4,0,12,3,3,13,0,0,0,0
T207754,RCB Vs Punjab Kings,RCB,Mohammed Siraj,4,0,33,0,8.25,9,4,1,1,0
T207754,RCB Vs Punjab Kings,RCB,George Garton,4,0,27,1,6.75,10,1,1,2,1
T207754,RCB Vs Punjab Kings,RCB,Shahbaz Ahmed,3,0,29,1,9.66,4,1,2,0,0
T207754,RCB Vs Punjab Kings,RCB,Harshal Patel,4,0,27,0,6.75,10,0,2,0,0
T207754,RCB Vs Punjab Kings,RCB,Yuzvendra Chahal,4,0,29,3,7.25,9,2,1,2,0
T207754,RCB Vs Punjab Kings,RCB,Dan Christian,1,0,11,0,11,1,2,0,0,0
T205672,Super Kings Vs Royals,Royals,Akash Singh,4,0,39,0,9.75,7,5,1,0,0
T205672,Super Kings Vs Royals,Royals,Chetan Sakariya,4,0,31,1,7.75,10,4,0,2,0
T205672,Super Kings Vs Royals,Royals,Mustafizur Rahman,4,0,51,0,12.75,4,3,4,1,0
T205672,Super Kings Vs Royals,Royals,Rahul Tewatia,4,0,39,3,9.75,5,2,2,2,0
T205672,Super Kings Vs Royals,Royals,Mayank Markande,3,0,26,0,8.66,4,2,1,0,0
T205672,Super Kings Vs Royals,Royals,Glenn Phillips,1,0,3,0,3,3,0,0,0,0
T205672,Super Kings Vs Royals,Super Kings,Sam Curran,4,0,55,0,13.75,4,5,3,2,1
T205672,Super Kings Vs Royals,Super Kings,Josh Hazlewood,4,0,54,0,13.5,8,7,3,0,0
